id,title,desc,by
c00001,The Complete Python Bootcamp From Zero to Hero in Python,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,Jose Portilla
c00002,The Complete 2023 Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",Dr. Angela Yu
c00003,The Web Developer Bootcamp 2023,"10 Hours of React just added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",Colt Steele
c00004,100 Days of Code: The Complete Python Pro Bootcamp for 2023,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",Dr. Angela Yu
c00005,React - The Complete Guide 2023 (incl. React Router & Redux),"Dive in and learn React.js from scratch! Learn React, Hooks, Redux, React Router, Next.js, Best Practices and way more!",Academind by Maximilian Schwarzmüller
c00006,The Complete JavaScript Course 2024: From Zero to Expert!,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",Jonas Schmedtmann
c00007,Angular - The Complete Guide (2023 Edition),"Master Angular (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",Maximilian Schwarzmüller
c00008,Java 17 Masterclass: Start Coding in 2023,Acquire Key Java Skills: From Basics to Advanced Programming & Certification - Start Your Dev Career,Tim Buchalka
c00009,"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2023]",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Kirill Eremenko
c00010,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Jose Portilla
c00011,The Data Science Course: Complete Data Science Bootcamp 2023,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",365 Careers
c00012,Automate the Boring Stuff with Python Programming,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Al Sweigart
c00013,Selenium WebDriver with Java -Basics to Advanced+Frameworks,"""TOP RATED  #1 Master SELENIUM java 4 (Latest) course"" -5 Million students learning worldWide with great collaboration",Rahul Shetty
c00014,Build Responsive Real-World Websites with HTML and CSS,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",Jonas Schmedtmann
c00015,Complete C# Unity Game Developer 2D,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",GameDev.tv Team
c00016,Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,Tim Buchalka
c00017,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",Colt Steele
c00018,Modern React with Redux [2023 Update],"Master React and Redux Toolkit.  Includes RTK Query, Routing, Immer, tons of custom hooks, and more!",Stephen Grider
c00019,"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners","Spring Boot 3: Learn Spring 6, Spring Core, Spring REST, Spring MVC, Spring Security, Thymeleaf, JPA, Hibernate, MySQL",Chad Darby
c00020,The Complete Web Developer Course 3.0,"Learn Web Development in 2023! Build apps, website, projects using HTML, CSS, Javascript, PHP, Python, MySQL & more!",Rob Percival
c00021,Flutter & Dart - The Complete Guide [2023 Edition],A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,Academind by Maximilian Schwarzmüller
c00022,The Complete Node.js Developer Course (3rd Edition),"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",Andrew Mead
c00023,Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,Ben Tristem
c00024,C# Basics for Beginners: Learn C# Fundamentals by Coding,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",Mosh Hamedani
c00025,Beginning C++ Programming - From Beginner to Beyond,Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,Tim Buchalka's Learn Programming Academy
c00026,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps","Take the full course to become a Python developer, or pick any of the projects to master specific areas of Python.",Ardit Sulce
c00027,Vue - The Complete Guide (incl. Router & Composition API),Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,Maximilian Schwarzmüller
c00028,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, GitHub Actions CI using DevOps",Bret Fisher
c00029,Docker and Kubernetes: The Complete Guide,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",Stephen Grider
c00030,Complete Python Developer in 2023: Zero to Mastery,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!",Andrei Neagoie
c00031,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",Kirill Eremenko
c00032,iOS & Swift - The Complete iOS App Development Bootcamp,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,Dr. Angela Yu
c00033,The Python Bible™ | Everything You Need to Program in Python,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,Ziyad Yehia
c00034,SQL for Beginners: Learn SQL using MySQL and Database Design,Understand SQL using the MySQL database. Learn Database Design and Data Analysis with Normalization and Relationships,Tim Buchalka's Learn Programming Academy
c00035,Python and Django Full Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",Jose Portilla
c00036,Master Microservices with Spring Boot and Spring Cloud,"Java Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",in28Minutes Official
c00037,JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Anthony Alicea
c00038,Understanding TypeScript,"Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",Maximilian Schwarzmüller
c00039,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",Academind by Maximilian Schwarzmüller
c00040,"Deep Learning A-Z 2023: Neural Networks, AI & ChatGPT Prize",Learn to create Deep Learning Algorithms in Python from two Machine Learning &amp; Data Science experts. Templates included.,Kirill Eremenko
c00041,Mastering Data Structures & Algorithms using C and C++,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",Abdul Bari
c00042,The Complete React Native + Hooks Course,"Understand React Native with Hooks, Context, and React Navigation.",Stephen Grider
c00043,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",Jonas Schmedtmann
c00044,Apache Kafka Series - Learn Apache Kafka for Beginners v3,"START HERE: Learn Apache Kafka 3.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture","Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer"
c00045,Python for Beginners: Learn Python Programming (Python 3),"Learn Python Programming the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",Jason Cannon
c00046,Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",365 Careers
c00047,Complete C# Unity Game Developer 3D,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",Ben Tristem
c00048,The Complete Flutter Development Bootcamp with Dart,Officially created in collaboration with the Google Flutter team.,Dr. Angela Yu
c00049,React Native - The Practical Guide [2023],"Use React Native and your React knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux",Academind by Maximilian Schwarzmüller
c00050,HTML and CSS for Beginners - Build a Website & Launch ONLINE,HTML and CSS for Beginners  course will give your all the knowledge you need to master HTML and CSS easily and quickly.,Edwin Diaz
c00051,Go: The Complete Developer's Guide (Golang),Master the fundamentals and advanced features of the Go Programming Language (Golang),Stephen Grider
c00052,"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",Mosh Hamedani
c00053,"DevOps , CI/CD(Continuous Integration/Delivery for Beginners","Learn about CI CD & DevOps & the concepts of Continuous Integration, Continuous Delivery / Deployment, DevOps & pipeline",John Honai
c00054,Artificial Intelligence A-Z 2023: Build 5 AI (incl. ChatGPT),"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",Hadelin de Ponteves
